====================
Model: EDSR
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: EDSR_X3
====================
[Epoch 001] train_loss=0.0152 | train_psnr=25.70 dB | val_loss=0.0030 | val_psnr=27.47 dB | time=56.8s
[Epoch 002] train_loss=0.0032 | train_psnr=31.48 dB | val_loss=0.0024 | val_psnr=28.39 dB | time=52.6s
[Epoch 003] train_loss=0.0029 | train_psnr=32.03 dB | val_loss=0.0022 | val_psnr=28.85 dB | time=57.1s
[Epoch 004] train_loss=0.0027 | train_psnr=32.67 dB | val_loss=0.0021 | val_psnr=29.04 dB | time=56.6s
[Epoch 005] train_loss=0.0025 | train_psnr=32.71 dB | val_loss=0.0021 | val_psnr=29.11 dB | time=54.5s
[Epoch 006] train_loss=0.0024 | train_psnr=33.09 dB | val_loss=0.0021 | val_psnr=29.15 dB | time=56.4s
[Epoch 007] train_loss=0.0022 | train_psnr=33.21 dB | val_loss=0.0020 | val_psnr=29.18 dB | time=56.0s
[Epoch 008] train_loss=0.0022 | train_psnr=33.28 dB | val_loss=0.0020 | val_psnr=29.20 dB | time=55.6s
[Epoch 009] train_loss=0.0022 | train_psnr=33.20 dB | val_loss=0.0020 | val_psnr=29.22 dB | time=55.9s
[Epoch 010] train_loss=0.0022 | train_psnr=33.30 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=55.8s
[Epoch 011] train_loss=0.0022 | train_psnr=33.37 dB | val_loss=0.0020 | val_psnr=29.24 dB | time=57.3s
[Epoch 012] train_loss=0.0022 | train_psnr=33.19 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=54.4s
[Epoch 013] train_loss=0.0021 | train_psnr=33.36 dB | val_loss=0.0020 | val_psnr=29.28 dB | time=55.4s
[Epoch 014] train_loss=0.0022 | train_psnr=33.27 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=56.0s
[Epoch 015] train_loss=0.0021 | train_psnr=33.50 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=50.0s
[Epoch 016] train_loss=0.0022 | train_psnr=33.32 dB | val_loss=0.0020 | val_psnr=29.31 dB | time=51.6s
[Epoch 017] train_loss=0.0020 | train_psnr=33.42 dB | val_loss=0.0019 | val_psnr=29.33 dB | time=52.3s
[Epoch 018] train_loss=0.0020 | train_psnr=33.55 dB | val_loss=0.0019 | val_psnr=29.36 dB | time=52.6s
[Epoch 019] train_loss=0.0020 | train_psnr=33.62 dB | val_loss=0.0019 | val_psnr=29.37 dB | time=52.3s
[Epoch 020] train_loss=0.0021 | train_psnr=33.42 dB | val_loss=0.0019 | val_psnr=29.39 dB | time=52.2s
[Epoch 021] train_loss=0.0021 | train_psnr=33.41 dB | val_loss=0.0019 | val_psnr=29.40 dB | time=55.0s
[Epoch 022] train_loss=0.0021 | train_psnr=33.26 dB | val_loss=0.0019 | val_psnr=29.38 dB | time=52.5s
[Epoch 023] train_loss=0.0021 | train_psnr=33.39 dB | val_loss=0.0019 | val_psnr=29.47 dB | time=52.6s
[Epoch 024] train_loss=0.0020 | train_psnr=33.35 dB | val_loss=0.0019 | val_psnr=29.43 dB | time=53.6s
[Epoch 025] train_loss=0.0020 | train_psnr=33.35 dB | val_loss=0.0019 | val_psnr=29.50 dB | time=53.5s
[Epoch 026] train_loss=0.0019 | train_psnr=33.82 dB | val_loss=0.0019 | val_psnr=29.48 dB | time=55.1s
