====================
Model: FSRCNN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: FSRCNN_X4
====================
[Epoch 001] train_loss=0.0614 | train_psnr=18.85 dB | val_loss=0.0164 | val_psnr=21.66 dB | time=68.0s
[Epoch 002] train_loss=0.0200 | train_psnr=23.38 dB | val_loss=0.0100 | val_psnr=22.36 dB | time=68.0s
[Epoch 003] train_loss=0.0124 | train_psnr=24.37 dB | val_loss=0.0079 | val_psnr=23.28 dB | time=66.1s
[Epoch 004] train_loss=0.0095 | train_psnr=25.63 dB | val_loss=0.0072 | val_psnr=23.77 dB | time=59.1s
[Epoch 005] train_loss=0.0086 | train_psnr=26.07 dB | val_loss=0.0066 | val_psnr=24.14 dB | time=68.7s
[Epoch 006] train_loss=0.0080 | train_psnr=26.58 dB | val_loss=0.0063 | val_psnr=24.41 dB | time=73.3s
[Epoch 007] train_loss=0.0075 | train_psnr=26.94 dB | val_loss=0.0059 | val_psnr=24.72 dB | time=66.6s
[Epoch 008] train_loss=0.0070 | train_psnr=27.31 dB | val_loss=0.0057 | val_psnr=24.86 dB | time=69.1s
[Epoch 009] train_loss=0.0070 | train_psnr=27.21 dB | val_loss=0.0055 | val_psnr=25.04 dB | time=72.9s
[Epoch 010] train_loss=0.0065 | train_psnr=27.49 dB | val_loss=0.0054 | val_psnr=25.09 dB | time=70.1s
[Epoch 011] train_loss=0.0063 | train_psnr=27.54 dB | val_loss=0.0050 | val_psnr=25.41 dB | time=64.7s
[Epoch 012] train_loss=0.0056 | train_psnr=27.92 dB | val_loss=0.0042 | val_psnr=25.90 dB | time=67.3s
[Epoch 013] train_loss=0.0052 | train_psnr=28.39 dB | val_loss=0.0040 | val_psnr=26.04 dB | time=70.3s
[Epoch 014] train_loss=0.0051 | train_psnr=28.49 dB | val_loss=0.0039 | val_psnr=26.24 dB | time=68.3s
[Epoch 015] train_loss=0.0050 | train_psnr=28.70 dB | val_loss=0.0038 | val_psnr=26.37 dB | time=64.5s
[Epoch 016] train_loss=0.0047 | train_psnr=29.09 dB | val_loss=0.0037 | val_psnr=26.43 dB | time=66.9s
[Epoch 017] train_loss=0.0045 | train_psnr=29.08 dB | val_loss=0.0037 | val_psnr=26.51 dB | time=71.5s
[Epoch 018] train_loss=0.0045 | train_psnr=29.20 dB | val_loss=0.0036 | val_psnr=26.60 dB | time=70.6s
[Epoch 019] train_loss=0.0043 | train_psnr=29.23 dB | val_loss=0.0035 | val_psnr=26.67 dB | time=60.9s
[Epoch 020] train_loss=0.0044 | train_psnr=29.28 dB | val_loss=0.0035 | val_psnr=26.52 dB | time=70.9s
[Epoch 021] train_loss=0.0043 | train_psnr=29.50 dB | val_loss=0.0034 | val_psnr=26.79 dB | time=66.7s
[Epoch 022] train_loss=0.0042 | train_psnr=29.55 dB | val_loss=0.0034 | val_psnr=26.81 dB | time=59.0s
[Epoch 023] train_loss=0.0043 | train_psnr=29.51 dB | val_loss=0.0034 | val_psnr=26.91 dB | time=67.4s
[Epoch 024] train_loss=0.0041 | train_psnr=29.89 dB | val_loss=0.0034 | val_psnr=26.95 dB | time=58.8s
[Epoch 025] train_loss=0.0041 | train_psnr=29.41 dB | val_loss=0.0033 | val_psnr=27.00 dB | time=65.0s
[Epoch 026] train_loss=0.0039 | train_psnr=29.97 dB | val_loss=0.0033 | val_psnr=27.02 dB | time=69.7s
[Epoch 027] train_loss=0.0041 | train_psnr=29.86 dB | val_loss=0.0033 | val_psnr=27.04 dB | time=67.7s
[Epoch 028] train_loss=0.0039 | train_psnr=29.88 dB | val_loss=0.0033 | val_psnr=27.05 dB | time=58.8s
[Epoch 029] train_loss=0.0038 | train_psnr=30.11 dB | val_loss=0.0032 | val_psnr=27.10 dB | time=66.9s
[Epoch 030] train_loss=0.0038 | train_psnr=30.17 dB | val_loss=0.0032 | val_psnr=27.11 dB | time=69.2s
[Epoch 031] train_loss=0.0039 | train_psnr=30.08 dB | val_loss=0.0034 | val_psnr=26.75 dB | time=64.2s
[Epoch 032] train_loss=0.0038 | train_psnr=29.96 dB | val_loss=0.0032 | val_psnr=27.15 dB | time=65.1s
[Epoch 033] train_loss=0.0037 | train_psnr=30.34 dB | val_loss=0.0032 | val_psnr=27.17 dB | time=68.2s
[Epoch 034] train_loss=0.0040 | train_psnr=29.95 dB | val_loss=0.0032 | val_psnr=27.17 dB | time=63.2s
[Epoch 035] train_loss=0.0038 | train_psnr=30.34 dB | val_loss=0.0032 | val_psnr=27.15 dB | time=62.9s
[Epoch 036] train_loss=0.0039 | train_psnr=29.90 dB | val_loss=0.0031 | val_psnr=27.19 dB | time=68.1s
[Epoch 037] train_loss=0.0038 | train_psnr=30.27 dB | val_loss=0.0031 | val_psnr=27.18 dB | time=63.5s
[Epoch 038] train_loss=0.0037 | train_psnr=30.34 dB | val_loss=0.0031 | val_psnr=27.16 dB | time=62.0s
[Epoch 039] train_loss=0.0036 | train_psnr=30.28 dB | val_loss=0.0031 | val_psnr=27.21 dB | time=68.8s
[Epoch 040] train_loss=0.0035 | train_psnr=30.54 dB | val_loss=0.0031 | val_psnr=27.24 dB | time=71.7s
[Epoch 041] train_loss=0.0037 | train_psnr=30.24 dB | val_loss=0.0031 | val_psnr=27.24 dB | time=62.4s
[Epoch 042] train_loss=0.0037 | train_psnr=30.36 dB | val_loss=0.0031 | val_psnr=27.18 dB | time=62.7s
