LIIF Training — 2026-05-26 22:58:58
Config: {'model': 'liif', 'encoder': 'edsr', 'encoder_args': {'n_feats': 64, 'n_resblocks': 16}, 'liif_args': {'feat_dim': 64, 'hidden_dim': 256, 'local_ensemble': True, 'feat_unfold': True, 'cell_decode': True}, 'train_hr': 'data/DIV2K/DIV2K_train_HR', 'val_hr': 'data/DIV2K/DIV2K_valid_HR', 'patch_size': 48, 'scale_min': 1.0, 'scale_max': 4.0, 'sample_q': 2304, 'val_scale': 4, 'val_batch_q': 30000, 'epochs': 500, 'batch_size': 16, 'lr': 0.0001, 'opt': 'adam', 'crit': 'l1', 'scheduler': 'multi_step', 'milestones': [200, 400], 'gamma': 0.5, 'save_dir': 'experiments/liif_edsr'}
Parameters: 1,530,371
============================================================
[Epoch 001/500] loss=0.096003 | val_psnr(x4)=22.11 dB | lr=1.00e-04 | time=102.1s
[Epoch 002/500] loss=0.041707 | val_psnr(x4)=22.93 dB | lr=1.00e-04 | time=101.9s
[Epoch 003/500] loss=0.037072 | val_psnr(x4)=23.47 dB | lr=1.00e-04 | time=101.6s
[Epoch 004/500] loss=0.034507 | val_psnr(x4)=24.06 dB | lr=1.00e-04 | time=102.9s
[Epoch 005/500] loss=0.031859 | val_psnr(x4)=24.54 dB | lr=1.00e-04 | time=101.7s
[Epoch 006/500] loss=0.030881 | val_psnr(x4)=24.58 dB | lr=1.00e-04 | time=101.8s
[Epoch 007/500] loss=0.029327 | val_psnr(x4)=24.73 dB | lr=1.00e-04 | time=103.4s
[Epoch 008/500] loss=0.028481 | val_psnr(x4)=25.12 dB | lr=1.00e-04 | time=101.3s
[Epoch 009/500] loss=0.028104 | val_psnr(x4)=25.56 dB | lr=1.00e-04 | time=100.7s
[Epoch 010/500] loss=0.026939 | val_psnr(x4)=25.64 dB | lr=1.00e-04 | time=101.0s
[Epoch 011/500] loss=0.026651 | val_psnr(x4)=25.74 dB | lr=1.00e-04 | time=100.6s
[Epoch 012/500] loss=0.026616 | val_psnr(x4)=25.97 dB | lr=1.00e-04 | time=100.5s
[Epoch 013/500] loss=0.025665 | val_psnr(x4)=25.99 dB | lr=1.00e-04 | time=101.3s
[Epoch 014/500] loss=0.024835 | val_psnr(x4)=26.12 dB | lr=1.00e-04 | time=101.7s
[Epoch 015/500] loss=0.025571 | val_psnr(x4)=26.17 dB | lr=1.00e-04 | time=101.5s
[Epoch 016/500] loss=0.025083 | val_psnr(x4)=26.33 dB | lr=1.00e-04 | time=101.5s
[Epoch 017/500] loss=0.023723 | val_psnr(x4)=26.19 dB | lr=1.00e-04 | time=101.6s
[Epoch 018/500] loss=0.024054 | val_psnr(x4)=26.44 dB | lr=1.00e-04 | time=102.2s
[Epoch 019/500] loss=0.023537 | val_psnr(x4)=26.44 dB | lr=1.00e-04 | time=102.3s
[Epoch 020/500] loss=0.023299 | val_psnr(x4)=26.56 dB | lr=1.00e-04 | time=106.2s
[Epoch 021/500] loss=0.022608 | val_psnr(x4)=26.63 dB | lr=1.00e-04 | time=104.3s
[Epoch 022/500] loss=0.023575 | val_psnr(x4)=26.47 dB | lr=1.00e-04 | time=103.7s
[Epoch 023/500] loss=0.022375 | val_psnr(x4)=26.65 dB | lr=1.00e-04 | time=102.8s
[Epoch 024/500] loss=0.022906 | val_psnr(x4)=26.78 dB | lr=1.00e-04 | time=103.0s
[Epoch 025/500] loss=0.022995 | val_psnr(x4)=26.67 dB | lr=1.00e-04 | time=104.2s
[Epoch 026/500] loss=0.022938 | val_psnr(x4)=26.84 dB | lr=1.00e-04 | time=104.0s
[Epoch 027/500] loss=0.022199 | val_psnr(x4)=26.72 dB | lr=1.00e-04 | time=103.7s
[Epoch 028/500] loss=0.021978 | val_psnr(x4)=26.87 dB | lr=1.00e-04 | time=104.1s
[Epoch 029/500] loss=0.022775 | val_psnr(x4)=26.90 dB | lr=1.00e-04 | time=102.9s
[Epoch 030/500] loss=0.021958 | val_psnr(x4)=27.02 dB | lr=1.00e-04 | time=102.3s
[Epoch 031/500] loss=0.021177 | val_psnr(x4)=27.04 dB | lr=1.00e-04 | time=103.2s
[Epoch 032/500] loss=0.021774 | val_psnr(x4)=27.09 dB | lr=1.00e-04 | time=103.7s
[Epoch 033/500] loss=0.022703 | val_psnr(x4)=27.05 dB | lr=1.00e-04 | time=102.9s
[Epoch 034/500] loss=0.021291 | val_psnr(x4)=27.08 dB | lr=1.00e-04 | time=102.6s
[Epoch 035/500] loss=0.021905 | val_psnr(x4)=27.17 dB | lr=1.00e-04 | time=103.4s
[Epoch 036/500] loss=0.021704 | val_psnr(x4)=27.18 dB | lr=1.00e-04 | time=103.8s
[Epoch 037/500] loss=0.021727 | val_psnr(x4)=27.24 dB | lr=1.00e-04 | time=103.7s
[Epoch 038/500] loss=0.021716 | val_psnr(x4)=27.15 dB | lr=1.00e-04 | time=103.0s
[Epoch 039/500] loss=0.021401 | val_psnr(x4)=27.22 dB | lr=1.00e-04 | time=103.5s
[Epoch 040/500] loss=0.020937 | val_psnr(x4)=27.15 dB | lr=1.00e-04 | time=102.7s
[Epoch 041/500] loss=0.021299 | val_psnr(x4)=26.65 dB | lr=1.00e-04 | time=101.7s
[Epoch 042/500] loss=0.020675 | val_psnr(x4)=27.33 dB | lr=1.00e-04 | time=102.6s
[Epoch 043/500] loss=0.020604 | val_psnr(x4)=27.24 dB | lr=1.00e-04 | time=104.1s
[Epoch 044/500] loss=0.021382 | val_psnr(x4)=27.29 dB | lr=1.00e-04 | time=102.6s
[Epoch 045/500] loss=0.022166 | val_psnr(x4)=27.32 dB | lr=1.00e-04 | time=102.1s
[Epoch 046/500] loss=0.020838 | val_psnr(x4)=27.41 dB | lr=1.00e-04 | time=102.9s
[Epoch 047/500] loss=0.020420 | val_psnr(x4)=27.36 dB | lr=1.00e-04 | time=102.4s
[Epoch 048/500] loss=0.021220 | val_psnr(x4)=27.11 dB | lr=1.00e-04 | time=102.0s
[Epoch 049/500] loss=0.020016 | val_psnr(x4)=27.47 dB | lr=1.00e-04 | time=102.3s
[Epoch 050/500] loss=0.020046 | val_psnr(x4)=27.47 dB | lr=1.00e-04 | time=103.6s
[Epoch 051/500] loss=0.020870 | val_psnr(x4)=27.35 dB | lr=1.00e-04 | time=103.5s
[Epoch 052/500] loss=0.020415 | val_psnr(x4)=27.47 dB | lr=1.00e-04 | time=102.3s
[Epoch 053/500] loss=0.020270 | val_psnr(x4)=27.50 dB | lr=1.00e-04 | time=102.5s
[Epoch 054/500] loss=0.019867 | val_psnr(x4)=27.49 dB | lr=1.00e-04 | time=101.7s
[Epoch 055/500] loss=0.020137 | val_psnr(x4)=27.39 dB | lr=1.00e-04 | time=101.1s
[Epoch 056/500] loss=0.020100 | val_psnr(x4)=27.56 dB | lr=1.00e-04 | time=101.6s
[Epoch 057/500] loss=0.020876 | val_psnr(x4)=27.50 dB | lr=1.00e-04 | time=101.1s
[Epoch 058/500] loss=0.020405 | val_psnr(x4)=27.39 dB | lr=1.00e-04 | time=101.2s
[Epoch 059/500] loss=0.019513 | val_psnr(x4)=27.45 dB | lr=1.00e-04 | time=101.8s
[Epoch 060/500] loss=0.020148 | val_psnr(x4)=27.62 dB | lr=1.00e-04 | time=101.9s
[Epoch 061/500] loss=0.019965 | val_psnr(x4)=27.52 dB | lr=1.00e-04 | time=101.5s
[Epoch 062/500] loss=0.019949 | val_psnr(x4)=27.63 dB | lr=1.00e-04 | time=101.8s
[Epoch 063/500] loss=0.019942 | val_psnr(x4)=27.64 dB | lr=1.00e-04 | time=102.1s
[Epoch 064/500] loss=0.019704 | val_psnr(x4)=27.64 dB | lr=1.00e-04 | time=102.2s
[Epoch 065/500] loss=0.018866 | val_psnr(x4)=27.62 dB | lr=1.00e-04 | time=101.5s
[Epoch 066/500] loss=0.019592 | val_psnr(x4)=27.67 dB | lr=1.00e-04 | time=101.8s
[Epoch 067/500] loss=0.019661 | val_psnr(x4)=27.68 dB | lr=1.00e-04 | time=101.7s
[Epoch 068/500] loss=0.019749 | val_psnr(x4)=27.67 dB | lr=1.00e-04 | time=103.1s
[Epoch 069/500] loss=0.019614 | val_psnr(x4)=27.69 dB | lr=1.00e-04 | time=102.3s
[Epoch 070/500] loss=0.019687 | val_psnr(x4)=27.71 dB | lr=1.00e-04 | time=102.3s
[Epoch 071/500] loss=0.019959 | val_psnr(x4)=27.63 dB | lr=1.00e-04 | time=102.1s
[Epoch 072/500] loss=0.019419 | val_psnr(x4)=27.66 dB | lr=1.00e-04 | time=101.2s
[Epoch 073/500] loss=0.020025 | val_psnr(x4)=27.65 dB | lr=1.00e-04 | time=101.3s
[Epoch 074/500] loss=0.019228 | val_psnr(x4)=27.75 dB | lr=1.00e-04 | time=101.8s
[Epoch 075/500] loss=0.019165 | val_psnr(x4)=27.63 dB | lr=1.00e-04 | time=102.1s
[Epoch 076/500] loss=0.020064 | val_psnr(x4)=27.65 dB | lr=1.00e-04 | time=102.7s
