====================
Model: SRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: SRCNN_X2
====================
[Epoch 001] train_loss=0.0576 | train_psnr=20.11 dB | val_loss=0.0092 | val_psnr=23.44 dB | time=55.1s
[Epoch 002] train_loss=0.0089 | train_psnr=27.36 dB | val_loss=0.0037 | val_psnr=26.81 dB | time=57.4s
[Epoch 003] train_loss=0.0046 | train_psnr=28.90 dB | val_loss=0.0026 | val_psnr=28.03 dB | time=56.6s
[Epoch 004] train_loss=0.0032 | train_psnr=30.60 dB | val_loss=0.0022 | val_psnr=28.75 dB | time=55.3s
[Epoch 005] train_loss=0.0027 | train_psnr=31.81 dB | val_loss=0.0020 | val_psnr=29.34 dB | time=56.9s
[Epoch 006] train_loss=0.0024 | train_psnr=32.47 dB | val_loss=0.0019 | val_psnr=29.67 dB | time=54.7s
[Epoch 007] train_loss=0.0022 | train_psnr=33.02 dB | val_loss=0.0018 | val_psnr=29.87 dB | time=54.3s
[Epoch 008] train_loss=0.0021 | train_psnr=32.97 dB | val_loss=0.0017 | val_psnr=30.12 dB | time=55.3s
[Epoch 009] train_loss=0.0021 | train_psnr=33.20 dB | val_loss=0.0017 | val_psnr=30.27 dB | time=55.7s
[Epoch 010] train_loss=0.0020 | train_psnr=33.14 dB | val_loss=0.0016 | val_psnr=30.47 dB | time=56.6s
[Epoch 011] train_loss=0.0018 | train_psnr=33.74 dB | val_loss=0.0015 | val_psnr=30.59 dB | time=54.3s
[Epoch 012] train_loss=0.0018 | train_psnr=33.94 dB | val_loss=0.0015 | val_psnr=30.77 dB | time=58.1s
[Epoch 013] train_loss=0.0017 | train_psnr=34.06 dB | val_loss=0.0014 | val_psnr=30.87 dB | time=55.0s
[Epoch 014] train_loss=0.0016 | train_psnr=34.39 dB | val_loss=0.0014 | val_psnr=31.06 dB | time=55.2s
[Epoch 015] train_loss=0.0016 | train_psnr=34.58 dB | val_loss=0.0014 | val_psnr=31.16 dB | time=56.8s
[Epoch 016] train_loss=0.0016 | train_psnr=34.58 dB | val_loss=0.0013 | val_psnr=31.23 dB | time=53.7s
[Epoch 017] train_loss=0.0016 | train_psnr=34.67 dB | val_loss=0.0013 | val_psnr=31.39 dB | time=57.7s
[Epoch 018] train_loss=0.0015 | train_psnr=34.64 dB | val_loss=0.0013 | val_psnr=31.46 dB | time=56.9s
[Epoch 019] train_loss=0.0015 | train_psnr=34.92 dB | val_loss=0.0013 | val_psnr=31.56 dB | time=56.9s
[Epoch 020] train_loss=0.0015 | train_psnr=34.80 dB | val_loss=0.0012 | val_psnr=31.64 dB | time=56.8s
[Epoch 021] train_loss=0.0015 | train_psnr=35.15 dB | val_loss=0.0012 | val_psnr=31.69 dB | time=56.6s
[Epoch 022] train_loss=0.0014 | train_psnr=35.29 dB | val_loss=0.0012 | val_psnr=31.75 dB | time=57.0s
[Epoch 023] train_loss=0.0014 | train_psnr=35.35 dB | val_loss=0.0012 | val_psnr=31.81 dB | time=54.7s
[Epoch 024] train_loss=0.0014 | train_psnr=35.02 dB | val_loss=0.0012 | val_psnr=31.86 dB | time=55.6s
[Epoch 025] train_loss=0.0013 | train_psnr=35.21 dB | val_loss=0.0012 | val_psnr=31.77 dB | time=55.0s
[Epoch 026] train_loss=0.0013 | train_psnr=35.37 dB | val_loss=0.0012 | val_psnr=31.93 dB | time=54.7s
[Epoch 027] train_loss=0.0013 | train_psnr=35.54 dB | val_loss=0.0011 | val_psnr=31.97 dB | time=58.1s
[Epoch 028] train_loss=0.0013 | train_psnr=35.48 dB | val_loss=0.0011 | val_psnr=32.00 dB | time=55.7s
[Epoch 029] train_loss=0.0013 | train_psnr=35.61 dB | val_loss=0.0011 | val_psnr=32.03 dB | time=54.3s
[Epoch 030] train_loss=0.0013 | train_psnr=35.23 dB | val_loss=0.0013 | val_psnr=30.80 dB | time=54.3s
[Epoch 031] train_loss=0.0013 | train_psnr=35.61 dB | val_loss=0.0011 | val_psnr=32.07 dB | time=57.7s
[Epoch 032] train_loss=0.0013 | train_psnr=35.48 dB | val_loss=0.0011 | val_psnr=32.12 dB | time=57.6s
[Epoch 033] train_loss=0.0013 | train_psnr=35.56 dB | val_loss=0.0011 | val_psnr=32.11 dB | time=56.9s
[Epoch 034] train_loss=0.0013 | train_psnr=35.53 dB | val_loss=0.0011 | val_psnr=32.16 dB | time=57.6s
[Epoch 035] train_loss=0.0013 | train_psnr=35.38 dB | val_loss=0.0011 | val_psnr=32.18 dB | time=57.1s
[Epoch 036] train_loss=0.0012 | train_psnr=35.72 dB | val_loss=0.0012 | val_psnr=31.51 dB | time=56.5s
[Epoch 037] train_loss=0.0012 | train_psnr=35.67 dB | val_loss=0.0011 | val_psnr=32.23 dB | time=58.0s
[Epoch 038] train_loss=0.0012 | train_psnr=35.82 dB | val_loss=0.0011 | val_psnr=32.25 dB | time=54.0s
[Epoch 039] train_loss=0.0012 | train_psnr=35.97 dB | val_loss=0.0011 | val_psnr=32.24 dB | time=56.9s
[Epoch 040] train_loss=0.0012 | train_psnr=35.82 dB | val_loss=0.0011 | val_psnr=32.27 dB | time=56.6s
[Epoch 041] train_loss=0.0012 | train_psnr=35.94 dB | val_loss=0.0011 | val_psnr=32.29 dB | time=56.5s
[Epoch 042] train_loss=0.0012 | train_psnr=35.51 dB | val_loss=0.0011 | val_psnr=32.23 dB | time=58.1s
[Epoch 043] train_loss=0.0012 | train_psnr=35.96 dB | val_loss=0.0011 | val_psnr=32.30 dB | time=57.7s
[Epoch 044] train_loss=0.0012 | train_psnr=35.80 dB | val_loss=0.0011 | val_psnr=32.33 dB | time=59.2s
[Epoch 045] train_loss=0.0011 | train_psnr=36.12 dB | val_loss=0.0011 | val_psnr=32.34 dB | time=56.2s
[Epoch 046] train_loss=0.0012 | train_psnr=36.00 dB | val_loss=0.0010 | val_psnr=32.35 dB | time=58.5s
[Epoch 047] train_loss=0.0011 | train_psnr=36.14 dB | val_loss=0.0010 | val_psnr=32.35 dB | time=57.8s
[Epoch 048] train_loss=0.0012 | train_psnr=36.25 dB | val_loss=0.0010 | val_psnr=32.38 dB | time=55.4s
[Epoch 049] train_loss=0.0011 | train_psnr=36.16 dB | val_loss=0.0010 | val_psnr=32.38 dB | time=58.6s
[Epoch 050] train_loss=0.0012 | train_psnr=35.73 dB | val_loss=0.0010 | val_psnr=32.27 dB | time=57.9s
[Epoch 051] train_loss=0.0012 | train_psnr=35.85 dB | val_loss=0.0010 | val_psnr=32.41 dB | time=57.0s
[Epoch 052] train_loss=0.0012 | train_psnr=36.18 dB | val_loss=0.0010 | val_psnr=32.39 dB | time=58.3s
[Epoch 053] train_loss=0.0012 | train_psnr=35.93 dB | val_loss=0.0010 | val_psnr=32.37 dB | time=58.3s
[Epoch 054] train_loss=0.0012 | train_psnr=36.14 dB | val_loss=0.0010 | val_psnr=32.43 dB | time=58.9s
[Epoch 055] train_loss=0.0012 | train_psnr=36.05 dB | val_loss=0.0010 | val_psnr=32.44 dB | time=57.4s
[Epoch 056] train_loss=0.0012 | train_psnr=35.72 dB | val_loss=0.0010 | val_psnr=32.44 dB | time=59.2s
[Epoch 057] train_loss=0.0011 | train_psnr=36.24 dB | val_loss=0.0010 | val_psnr=32.43 dB | time=58.8s
[Epoch 058] train_loss=0.0012 | train_psnr=36.14 dB | val_loss=0.0010 | val_psnr=32.46 dB | time=57.2s
[Epoch 059] train_loss=0.0011 | train_psnr=36.09 dB | val_loss=0.0010 | val_psnr=32.42 dB | time=59.0s
[Epoch 060] train_loss=0.0011 | train_psnr=36.10 dB | val_loss=0.0010 | val_psnr=32.47 dB | time=54.7s
[Epoch 061] train_loss=0.0012 | train_psnr=35.86 dB | val_loss=0.0010 | val_psnr=32.38 dB | time=58.3s
[Epoch 062] train_loss=0.0011 | train_psnr=36.24 dB | val_loss=0.0010 | val_psnr=32.48 dB | time=59.0s
[Epoch 063] train_loss=0.0011 | train_psnr=36.04 dB | val_loss=0.0010 | val_psnr=32.47 dB | time=59.3s
[Epoch 064] train_loss=0.0011 | train_psnr=36.20 dB | val_loss=0.0010 | val_psnr=32.50 dB | time=58.9s
[Epoch 065] train_loss=0.0011 | train_psnr=36.30 dB | val_loss=0.0010 | val_psnr=32.46 dB | time=58.8s
[Epoch 066] train_loss=0.0012 | train_psnr=36.03 dB | val_loss=0.0010 | val_psnr=32.51 dB | time=58.9s
[Epoch 067] train_loss=0.0011 | train_psnr=36.23 dB | val_loss=0.0010 | val_psnr=32.43 dB | time=57.2s
[Epoch 068] train_loss=0.0011 | train_psnr=35.93 dB | val_loss=0.0010 | val_psnr=32.52 dB | time=56.6s
[Epoch 069] train_loss=0.0011 | train_psnr=36.22 dB | val_loss=0.0010 | val_psnr=32.52 dB | time=57.9s
[Epoch 070] train_loss=0.0011 | train_psnr=36.16 dB | val_loss=0.0010 | val_psnr=32.52 dB | time=55.7s
[Epoch 071] train_loss=0.0012 | train_psnr=36.02 dB | val_loss=0.0010 | val_psnr=32.36 dB | time=57.8s
[Epoch 072] train_loss=0.0011 | train_psnr=36.43 dB | val_loss=0.0010 | val_psnr=32.54 dB | time=56.6s
[Epoch 073] train_loss=0.0012 | train_psnr=36.05 dB | val_loss=0.0010 | val_psnr=32.54 dB | time=59.4s
[Epoch 074] train_loss=0.0011 | train_psnr=36.39 dB | val_loss=0.0010 | val_psnr=32.55 dB | time=56.3s
[Epoch 075] train_loss=0.0011 | train_psnr=36.09 dB | val_loss=0.0010 | val_psnr=32.55 dB | time=58.3s
[Epoch 076] train_loss=0.0012 | train_psnr=36.12 dB | val_loss=0.0010 | val_psnr=32.53 dB | time=56.9s
[Epoch 077] train_loss=0.0011 | train_psnr=36.20 dB | val_loss=0.0010 | val_psnr=32.55 dB | time=55.2s
[Epoch 078] train_loss=0.0011 | train_psnr=36.15 dB | val_loss=0.0010 | val_psnr=32.57 dB | time=58.8s
[Epoch 079] train_loss=0.0011 | train_psnr=36.43 dB | val_loss=0.0010 | val_psnr=32.56 dB | time=55.6s
[Epoch 080] train_loss=0.0011 | train_psnr=36.36 dB | val_loss=0.0010 | val_psnr=32.58 dB | time=58.4s
[Epoch 081] train_loss=0.0011 | train_psnr=36.24 dB | val_loss=0.0010 | val_psnr=32.54 dB | time=56.7s
[Epoch 082] train_loss=0.0011 | train_psnr=36.45 dB | val_loss=0.0010 | val_psnr=32.53 dB | time=58.6s
[Epoch 083] train_loss=0.0011 | train_psnr=36.16 dB | val_loss=0.0010 | val_psnr=32.59 dB | time=56.1s
[Epoch 084] train_loss=0.0011 | train_psnr=36.12 dB | val_loss=0.0010 | val_psnr=32.59 dB | time=55.7s
[Epoch 085] train_loss=0.0012 | train_psnr=36.03 dB | val_loss=0.0010 | val_psnr=32.59 dB | time=58.4s
[Epoch 086] train_loss=0.0011 | train_psnr=36.28 dB | val_loss=0.0010 | val_psnr=32.60 dB | time=56.1s
[Epoch 087] train_loss=0.0011 | train_psnr=36.54 dB | val_loss=0.0010 | val_psnr=32.61 dB | time=56.7s
[Epoch 088] train_loss=0.0011 | train_psnr=36.35 dB | val_loss=0.0010 | val_psnr=32.59 dB | time=55.9s
[Epoch 089] train_loss=0.0011 | train_psnr=36.39 dB | val_loss=0.0010 | val_psnr=32.61 dB | time=57.3s
[Epoch 090] train_loss=0.0011 | train_psnr=36.28 dB | val_loss=0.0010 | val_psnr=32.32 dB | time=56.9s
[Epoch 091] train_loss=0.0011 | train_psnr=36.10 dB | val_loss=0.0010 | val_psnr=32.60 dB | time=58.6s
[Epoch 092] train_loss=0.0011 | train_psnr=36.11 dB | val_loss=0.0010 | val_psnr=32.58 dB | time=60.9s
[Epoch 093] train_loss=0.0011 | train_psnr=36.26 dB | val_loss=0.0010 | val_psnr=32.62 dB | time=58.7s
[Epoch 094] train_loss=0.0011 | train_psnr=36.55 dB | val_loss=0.0010 | val_psnr=32.38 dB | time=56.4s
[Epoch 095] train_loss=0.0011 | train_psnr=36.17 dB | val_loss=0.0010 | val_psnr=32.61 dB | time=58.5s
[Epoch 096] train_loss=0.0011 | train_psnr=35.94 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=59.0s
[Epoch 097] train_loss=0.0011 | train_psnr=36.33 dB | val_loss=0.0010 | val_psnr=32.59 dB | time=58.4s
[Epoch 098] train_loss=0.0011 | train_psnr=36.29 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=57.6s
[Epoch 099] train_loss=0.0011 | train_psnr=36.37 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=57.3s
[Epoch 100] train_loss=0.0011 | train_psnr=36.53 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=55.9s
[Epoch 101] train_loss=0.0011 | train_psnr=36.51 dB | val_loss=0.0010 | val_psnr=32.64 dB | time=54.4s
[Epoch 102] train_loss=0.0011 | train_psnr=36.78 dB | val_loss=0.0010 | val_psnr=32.65 dB | time=59.3s
[Epoch 103] train_loss=0.0011 | train_psnr=35.90 dB | val_loss=0.0010 | val_psnr=32.65 dB | time=55.0s
[Epoch 104] train_loss=0.0011 | train_psnr=36.65 dB | val_loss=0.0010 | val_psnr=32.65 dB | time=56.9s
[Epoch 105] train_loss=0.0011 | train_psnr=36.67 dB | val_loss=0.0010 | val_psnr=32.66 dB | time=57.0s
[Epoch 106] train_loss=0.0011 | train_psnr=36.19 dB | val_loss=0.0010 | val_psnr=32.65 dB | time=56.6s
[Epoch 107] train_loss=0.0011 | train_psnr=36.31 dB | val_loss=0.0010 | val_psnr=32.67 dB | time=57.7s
