====================
Model: EDSR
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: EDSR_X4
====================
[Epoch 001] train_loss=0.0217 | train_psnr=23.92 dB | val_loss=0.0042 | val_psnr=25.72 dB | time=56.8s
[Epoch 002] train_loss=0.0049 | train_psnr=29.32 dB | val_loss=0.0034 | val_psnr=26.79 dB | time=54.1s
[Epoch 003] train_loss=0.0041 | train_psnr=29.92 dB | val_loss=0.0031 | val_psnr=27.10 dB | time=55.8s
[Epoch 004] train_loss=0.0037 | train_psnr=30.80 dB | val_loss=0.0030 | val_psnr=27.27 dB | time=54.5s
[Epoch 005] train_loss=0.0036 | train_psnr=30.94 dB | val_loss=0.0030 | val_psnr=27.35 dB | time=53.3s
[Epoch 006] train_loss=0.0033 | train_psnr=31.16 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=52.5s
[Epoch 007] train_loss=0.0034 | train_psnr=30.56 dB | val_loss=0.0029 | val_psnr=27.43 dB | time=52.4s
[Epoch 008] train_loss=0.0032 | train_psnr=31.64 dB | val_loss=0.0029 | val_psnr=27.46 dB | time=52.3s
[Epoch 009] train_loss=0.0032 | train_psnr=31.40 dB | val_loss=0.0028 | val_psnr=27.48 dB | time=52.3s
[Epoch 010] train_loss=0.0031 | train_psnr=31.58 dB | val_loss=0.0028 | val_psnr=27.50 dB | time=52.9s
[Epoch 011] train_loss=0.0032 | train_psnr=31.34 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=51.4s
[Epoch 012] train_loss=0.0031 | train_psnr=31.37 dB | val_loss=0.0028 | val_psnr=27.51 dB | time=53.5s
[Epoch 013] train_loss=0.0031 | train_psnr=31.62 dB | val_loss=0.0028 | val_psnr=27.52 dB | time=53.6s
[Epoch 014] train_loss=0.0031 | train_psnr=31.32 dB | val_loss=0.0028 | val_psnr=27.53 dB | time=52.1s
[Epoch 015] train_loss=0.0030 | train_psnr=31.73 dB | val_loss=0.0028 | val_psnr=27.54 dB | time=52.8s
[Epoch 016] train_loss=0.0030 | train_psnr=31.86 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=53.1s
[Epoch 017] train_loss=0.0031 | train_psnr=31.28 dB | val_loss=0.0028 | val_psnr=27.53 dB | time=54.1s
[Epoch 018] train_loss=0.0030 | train_psnr=31.77 dB | val_loss=0.0028 | val_psnr=27.56 dB | time=53.5s
[Epoch 019] train_loss=0.0030 | train_psnr=31.77 dB | val_loss=0.0028 | val_psnr=27.57 dB | time=53.4s
[Epoch 020] train_loss=0.0029 | train_psnr=31.72 dB | val_loss=0.0028 | val_psnr=27.57 dB | time=53.7s
[Epoch 021] train_loss=0.0030 | train_psnr=31.36 dB | val_loss=0.0028 | val_psnr=27.60 dB | time=52.5s
[Epoch 022] train_loss=0.0030 | train_psnr=31.83 dB | val_loss=0.0027 | val_psnr=27.61 dB | time=53.2s
[Epoch 023] train_loss=0.0030 | train_psnr=31.26 dB | val_loss=0.0028 | val_psnr=27.62 dB | time=53.9s
[Epoch 024] train_loss=0.0029 | train_psnr=31.89 dB | val_loss=0.0027 | val_psnr=27.64 dB | time=54.0s
[Epoch 025] train_loss=0.0030 | train_psnr=31.86 dB | val_loss=0.0028 | val_psnr=27.66 dB | time=54.2s
[Epoch 026] train_loss=0.0030 | train_psnr=31.73 dB | val_loss=0.0027 | val_psnr=27.68 dB | time=54.0s
