====================
Model: ESPCN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: ESPCN_X4
====================
[Epoch 001] train_loss=0.1072 | train_psnr=15.42 dB | val_loss=0.0273 | val_psnr=17.76 dB | time=52.0s
[Epoch 002] train_loss=0.0312 | train_psnr=19.48 dB | val_loss=0.0163 | val_psnr=20.49 dB | time=50.6s
[Epoch 003] train_loss=0.0202 | train_psnr=21.57 dB | val_loss=0.0124 | val_psnr=21.79 dB | time=52.0s
[Epoch 004] train_loss=0.0156 | train_psnr=22.64 dB | val_loss=0.0102 | val_psnr=22.58 dB | time=51.8s
[Epoch 005] train_loss=0.0131 | train_psnr=23.42 dB | val_loss=0.0087 | val_psnr=23.22 dB | time=47.9s
[Epoch 006] train_loss=0.0114 | train_psnr=24.12 dB | val_loss=0.0077 | val_psnr=23.71 dB | time=46.4s
[Epoch 007] train_loss=0.0100 | train_psnr=24.59 dB | val_loss=0.0070 | val_psnr=24.10 dB | time=46.8s
[Epoch 008] train_loss=0.0090 | train_psnr=25.26 dB | val_loss=0.0064 | val_psnr=24.44 dB | time=46.6s
[Epoch 009] train_loss=0.0082 | train_psnr=25.70 dB | val_loss=0.0060 | val_psnr=24.70 dB | time=49.3s
[Epoch 010] train_loss=0.0076 | train_psnr=26.03 dB | val_loss=0.0056 | val_psnr=24.93 dB | time=48.2s
[Epoch 011] train_loss=0.0073 | train_psnr=26.24 dB | val_loss=0.0053 | val_psnr=25.15 dB | time=48.7s
[Epoch 012] train_loss=0.0067 | train_psnr=26.63 dB | val_loss=0.0050 | val_psnr=25.38 dB | time=49.4s
[Epoch 013] train_loss=0.0063 | train_psnr=27.07 dB | val_loss=0.0048 | val_psnr=25.54 dB | time=49.2s
[Epoch 014] train_loss=0.0060 | train_psnr=27.18 dB | val_loss=0.0046 | val_psnr=25.66 dB | time=49.0s
[Epoch 015] train_loss=0.0058 | train_psnr=27.46 dB | val_loss=0.0045 | val_psnr=25.77 dB | time=47.9s
[Epoch 016] train_loss=0.0055 | train_psnr=27.51 dB | val_loss=0.0043 | val_psnr=25.93 dB | time=49.7s
[Epoch 017] train_loss=0.0053 | train_psnr=27.98 dB | val_loss=0.0042 | val_psnr=26.06 dB | time=48.8s
[Epoch 018] train_loss=0.0052 | train_psnr=27.92 dB | val_loss=0.0041 | val_psnr=26.18 dB | time=47.3s
[Epoch 019] train_loss=0.0050 | train_psnr=28.18 dB | val_loss=0.0040 | val_psnr=26.25 dB | time=50.0s
[Epoch 020] train_loss=0.0048 | train_psnr=28.40 dB | val_loss=0.0039 | val_psnr=26.30 dB | time=50.0s
[Epoch 021] train_loss=0.0047 | train_psnr=28.48 dB | val_loss=0.0038 | val_psnr=26.42 dB | time=48.3s
[Epoch 022] train_loss=0.0047 | train_psnr=28.55 dB | val_loss=0.0037 | val_psnr=26.45 dB | time=48.3s
[Epoch 023] train_loss=0.0046 | train_psnr=28.61 dB | val_loss=0.0037 | val_psnr=26.54 dB | time=48.6s
[Epoch 024] train_loss=0.0043 | train_psnr=28.95 dB | val_loss=0.0036 | val_psnr=26.55 dB | time=48.5s
[Epoch 025] train_loss=0.0043 | train_psnr=28.84 dB | val_loss=0.0036 | val_psnr=26.60 dB | time=49.5s
[Epoch 026] train_loss=0.0042 | train_psnr=29.01 dB | val_loss=0.0035 | val_psnr=26.70 dB | time=48.9s
[Epoch 027] train_loss=0.0040 | train_psnr=29.26 dB | val_loss=0.0035 | val_psnr=26.72 dB | time=49.9s
[Epoch 028] train_loss=0.0041 | train_psnr=29.19 dB | val_loss=0.0034 | val_psnr=26.77 dB | time=48.8s
[Epoch 029] train_loss=0.0041 | train_psnr=29.19 dB | val_loss=0.0034 | val_psnr=26.74 dB | time=47.7s
[Epoch 030] train_loss=0.0040 | train_psnr=29.26 dB | val_loss=0.0034 | val_psnr=26.73 dB | time=48.2s
[Epoch 031] train_loss=0.0040 | train_psnr=29.28 dB | val_loss=0.0033 | val_psnr=26.84 dB | time=48.4s
[Epoch 032] train_loss=0.0038 | train_psnr=29.63 dB | val_loss=0.0033 | val_psnr=26.83 dB | time=47.7s
[Epoch 033] train_loss=0.0039 | train_psnr=29.41 dB | val_loss=0.0033 | val_psnr=26.93 dB | time=49.4s
[Epoch 034] train_loss=0.0038 | train_psnr=29.61 dB | val_loss=0.0033 | val_psnr=26.94 dB | time=49.0s
[Epoch 035] train_loss=0.0038 | train_psnr=29.76 dB | val_loss=0.0032 | val_psnr=26.96 dB | time=47.3s
[Epoch 036] train_loss=0.0036 | train_psnr=29.61 dB | val_loss=0.0032 | val_psnr=26.99 dB | time=48.6s
[Epoch 037] train_loss=0.0038 | train_psnr=29.57 dB | val_loss=0.0032 | val_psnr=26.94 dB | time=48.6s
[Epoch 038] train_loss=0.0038 | train_psnr=29.49 dB | val_loss=0.0032 | val_psnr=26.84 dB | time=48.8s
[Epoch 039] train_loss=0.0036 | train_psnr=29.80 dB | val_loss=0.0032 | val_psnr=26.80 dB | time=48.1s
[Epoch 040] train_loss=0.0036 | train_psnr=29.97 dB | val_loss=0.0032 | val_psnr=27.03 dB | time=50.0s
[Epoch 041] train_loss=0.0036 | train_psnr=29.85 dB | val_loss=0.0031 | val_psnr=27.04 dB | time=49.5s
[Epoch 042] train_loss=0.0036 | train_psnr=30.07 dB | val_loss=0.0031 | val_psnr=27.08 dB | time=50.5s
[Epoch 043] train_loss=0.0035 | train_psnr=30.01 dB | val_loss=0.0031 | val_psnr=27.11 dB | time=49.6s
[Epoch 044] train_loss=0.0036 | train_psnr=29.94 dB | val_loss=0.0032 | val_psnr=27.04 dB | time=53.6s
[Epoch 045] train_loss=0.0034 | train_psnr=30.09 dB | val_loss=0.0031 | val_psnr=27.04 dB | time=49.5s
[Epoch 046] train_loss=0.0035 | train_psnr=29.88 dB | val_loss=0.0031 | val_psnr=27.09 dB | time=49.0s
[Epoch 047] train_loss=0.0034 | train_psnr=30.29 dB | val_loss=0.0031 | val_psnr=27.15 dB | time=50.1s
[Epoch 048] train_loss=0.0034 | train_psnr=30.23 dB | val_loss=0.0031 | val_psnr=27.15 dB | time=48.4s
[Epoch 049] train_loss=0.0036 | train_psnr=30.02 dB | val_loss=0.0031 | val_psnr=27.17 dB | time=49.3s
[Epoch 050] train_loss=0.0035 | train_psnr=30.12 dB | val_loss=0.0031 | val_psnr=27.17 dB | time=48.9s
[Epoch 051] train_loss=0.0034 | train_psnr=30.05 dB | val_loss=0.0031 | val_psnr=26.97 dB | time=46.8s
[Epoch 052] train_loss=0.0034 | train_psnr=30.26 dB | val_loss=0.0030 | val_psnr=27.13 dB | time=48.6s
[Epoch 053] train_loss=0.0035 | train_psnr=30.27 dB | val_loss=0.0030 | val_psnr=27.19 dB | time=49.1s
[Epoch 054] train_loss=0.0034 | train_psnr=30.29 dB | val_loss=0.0031 | val_psnr=27.04 dB | time=47.6s
[Epoch 055] train_loss=0.0033 | train_psnr=30.55 dB | val_loss=0.0030 | val_psnr=27.21 dB | time=48.4s
[Epoch 056] train_loss=0.0035 | train_psnr=30.08 dB | val_loss=0.0031 | val_psnr=27.01 dB | time=49.5s
[Epoch 057] train_loss=0.0033 | train_psnr=30.26 dB | val_loss=0.0030 | val_psnr=27.20 dB | time=47.9s
[Epoch 058] train_loss=0.0034 | train_psnr=30.53 dB | val_loss=0.0030 | val_psnr=27.23 dB | time=49.8s
[Epoch 059] train_loss=0.0033 | train_psnr=30.49 dB | val_loss=0.0030 | val_psnr=27.09 dB | time=50.7s
[Epoch 060] train_loss=0.0034 | train_psnr=30.57 dB | val_loss=0.0030 | val_psnr=27.24 dB | time=47.7s
[Epoch 061] train_loss=0.0034 | train_psnr=30.16 dB | val_loss=0.0030 | val_psnr=27.21 dB | time=51.6s
[Epoch 062] train_loss=0.0033 | train_psnr=30.35 dB | val_loss=0.0030 | val_psnr=27.16 dB | time=49.2s
[Epoch 063] train_loss=0.0034 | train_psnr=30.60 dB | val_loss=0.0030 | val_psnr=27.20 dB | time=53.2s
[Epoch 064] train_loss=0.0034 | train_psnr=30.33 dB | val_loss=0.0030 | val_psnr=27.20 dB | time=51.1s
[Epoch 065] train_loss=0.0032 | train_psnr=30.70 dB | val_loss=0.0030 | val_psnr=27.24 dB | time=50.8s
[Epoch 066] train_loss=0.0033 | train_psnr=30.42 dB | val_loss=0.0030 | val_psnr=27.27 dB | time=50.6s
[Epoch 067] train_loss=0.0033 | train_psnr=30.63 dB | val_loss=0.0030 | val_psnr=27.29 dB | time=49.9s
[Epoch 068] train_loss=0.0032 | train_psnr=30.59 dB | val_loss=0.0030 | val_psnr=27.27 dB | time=50.9s
[Epoch 069] train_loss=0.0031 | train_psnr=30.83 dB | val_loss=0.0030 | val_psnr=27.19 dB | time=49.5s
[Epoch 070] train_loss=0.0033 | train_psnr=30.36 dB | val_loss=0.0030 | val_psnr=27.22 dB | time=50.9s
[Epoch 071] train_loss=0.0033 | train_psnr=30.58 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=51.4s
[Epoch 072] train_loss=0.0032 | train_psnr=30.65 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=50.8s
[Epoch 073] train_loss=0.0033 | train_psnr=30.58 dB | val_loss=0.0029 | val_psnr=27.22 dB | time=49.4s
[Epoch 074] train_loss=0.0034 | train_psnr=30.52 dB | val_loss=0.0029 | val_psnr=27.31 dB | time=49.8s
[Epoch 075] train_loss=0.0032 | train_psnr=30.82 dB | val_loss=0.0030 | val_psnr=27.17 dB | time=51.3s
[Epoch 076] train_loss=0.0033 | train_psnr=30.70 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=49.1s
[Epoch 077] train_loss=0.0032 | train_psnr=30.65 dB | val_loss=0.0029 | val_psnr=27.24 dB | time=52.2s
[Epoch 078] train_loss=0.0033 | train_psnr=30.61 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=50.0s
[Epoch 079] train_loss=0.0032 | train_psnr=30.79 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=49.1s
[Epoch 080] train_loss=0.0032 | train_psnr=30.84 dB | val_loss=0.0030 | val_psnr=27.17 dB | time=50.3s
[Epoch 081] train_loss=0.0032 | train_psnr=30.69 dB | val_loss=0.0029 | val_psnr=27.32 dB | time=50.6s
[Epoch 082] train_loss=0.0032 | train_psnr=30.84 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=49.3s
[Epoch 083] train_loss=0.0033 | train_psnr=30.65 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=51.6s
[Epoch 084] train_loss=0.0032 | train_psnr=30.67 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=50.0s
[Epoch 085] train_loss=0.0032 | train_psnr=30.79 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=51.0s
[Epoch 086] train_loss=0.0032 | train_psnr=30.76 dB | val_loss=0.0029 | val_psnr=27.27 dB | time=49.9s
[Epoch 087] train_loss=0.0034 | train_psnr=30.49 dB | val_loss=0.0029 | val_psnr=27.22 dB | time=50.3s
[Epoch 088] train_loss=0.0031 | train_psnr=30.88 dB | val_loss=0.0029 | val_psnr=27.23 dB | time=51.9s
[Epoch 089] train_loss=0.0033 | train_psnr=30.53 dB | val_loss=0.0029 | val_psnr=27.37 dB | time=53.5s
[Epoch 090] train_loss=0.0033 | train_psnr=30.80 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=50.9s
[Epoch 091] train_loss=0.0031 | train_psnr=30.96 dB | val_loss=0.0029 | val_psnr=27.28 dB | time=49.8s
[Epoch 092] train_loss=0.0032 | train_psnr=30.78 dB | val_loss=0.0029 | val_psnr=27.34 dB | time=52.0s
[Epoch 093] train_loss=0.0032 | train_psnr=30.73 dB | val_loss=0.0029 | val_psnr=27.16 dB | time=50.7s
[Epoch 094] train_loss=0.0032 | train_psnr=30.74 dB | val_loss=0.0029 | val_psnr=27.29 dB | time=51.7s
[Epoch 095] train_loss=0.0032 | train_psnr=30.64 dB | val_loss=0.0029 | val_psnr=27.26 dB | time=52.1s
[Epoch 096] train_loss=0.0031 | train_psnr=30.86 dB | val_loss=0.0029 | val_psnr=27.37 dB | time=53.0s
[Epoch 097] train_loss=0.0033 | train_psnr=30.78 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=51.7s
[Epoch 098] train_loss=0.0031 | train_psnr=31.14 dB | val_loss=0.0029 | val_psnr=27.26 dB | time=51.8s
[Epoch 099] train_loss=0.0032 | train_psnr=31.07 dB | val_loss=0.0029 | val_psnr=27.37 dB | time=50.5s
[Epoch 100] train_loss=0.0032 | train_psnr=30.93 dB | val_loss=0.0029 | val_psnr=27.11 dB | time=49.9s
[Epoch 101] train_loss=0.0031 | train_psnr=30.85 dB | val_loss=0.0029 | val_psnr=27.39 dB | time=52.2s
[Epoch 102] train_loss=0.0032 | train_psnr=30.78 dB | val_loss=0.0029 | val_psnr=27.24 dB | time=49.9s
[Epoch 103] train_loss=0.0032 | train_psnr=30.72 dB | val_loss=0.0029 | val_psnr=27.37 dB | time=49.9s
[Epoch 104] train_loss=0.0031 | train_psnr=31.09 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=52.5s
[Epoch 105] train_loss=0.0032 | train_psnr=30.27 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=50.4s
[Epoch 106] train_loss=0.0032 | train_psnr=31.03 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=49.3s
[Epoch 107] train_loss=0.0033 | train_psnr=30.60 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=49.9s
[Epoch 108] train_loss=0.0030 | train_psnr=31.33 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=48.0s
[Epoch 109] train_loss=0.0031 | train_psnr=30.68 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=49.5s
[Epoch 110] train_loss=0.0031 | train_psnr=31.18 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=51.5s
[Epoch 111] train_loss=0.0031 | train_psnr=31.27 dB | val_loss=0.0029 | val_psnr=27.35 dB | time=51.6s
[Epoch 112] train_loss=0.0031 | train_psnr=31.32 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=51.3s
[Epoch 113] train_loss=0.0032 | train_psnr=30.94 dB | val_loss=0.0029 | val_psnr=27.39 dB | time=50.4s
[Epoch 114] train_loss=0.0031 | train_psnr=30.96 dB | val_loss=0.0029 | val_psnr=27.33 dB | time=50.2s
[Epoch 115] train_loss=0.0030 | train_psnr=31.22 dB | val_loss=0.0029 | val_psnr=27.37 dB | time=50.2s
[Epoch 116] train_loss=0.0031 | train_psnr=31.13 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=49.7s
[Epoch 117] train_loss=0.0032 | train_psnr=30.79 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=51.5s
[Epoch 118] train_loss=0.0030 | train_psnr=31.23 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=52.5s
[Epoch 119] train_loss=0.0032 | train_psnr=30.85 dB | val_loss=0.0029 | val_psnr=27.41 dB | time=48.0s
[Epoch 120] train_loss=0.0031 | train_psnr=31.07 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=51.6s
[Epoch 121] train_loss=0.0031 | train_psnr=31.11 dB | val_loss=0.0029 | val_psnr=27.38 dB | time=52.7s
[Epoch 122] train_loss=0.0032 | train_psnr=31.03 dB | val_loss=0.0029 | val_psnr=27.39 dB | time=50.2s
[Epoch 123] train_loss=0.0032 | train_psnr=30.74 dB | val_loss=0.0029 | val_psnr=27.40 dB | time=51.5s
