====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: SRCNN_X3
====================
[Epoch 001] train_loss=0.0599 | train_psnr=20.83 dB | val_loss=0.0084 | val_psnr=23.64 dB | time=59.4s
[Epoch 002] train_loss=0.0086 | train_psnr=27.49 dB | val_loss=0.0042 | val_psnr=26.00 dB | time=54.5s
[Epoch 003] train_loss=0.0052 | train_psnr=28.68 dB | val_loss=0.0032 | val_psnr=26.96 dB | time=56.3s
[Epoch 004] train_loss=0.0041 | train_psnr=29.85 dB | val_loss=0.0030 | val_psnr=27.28 dB | time=56.6s
[Epoch 005] train_loss=0.0037 | train_psnr=30.75 dB | val_loss=0.0029 | val_psnr=27.52 dB | time=56.6s
[Epoch 006] train_loss=0.0034 | train_psnr=31.08 dB | val_loss=0.0028 | val_psnr=27.67 dB | time=57.3s
[Epoch 007] train_loss=0.0031 | train_psnr=31.73 dB | val_loss=0.0027 | val_psnr=27.82 dB | time=55.3s
[Epoch 008] train_loss=0.0031 | train_psnr=31.54 dB | val_loss=0.0026 | val_psnr=27.96 dB | time=56.8s
[Epoch 009] train_loss=0.0030 | train_psnr=31.39 dB | val_loss=0.0025 | val_psnr=28.16 dB | time=55.4s
[Epoch 010] train_loss=0.0029 | train_psnr=31.76 dB | val_loss=0.0025 | val_psnr=28.26 dB | time=57.0s
[Epoch 011] train_loss=0.0029 | train_psnr=31.70 dB | val_loss=0.0024 | val_psnr=28.35 dB | time=57.0s
[Epoch 012] train_loss=0.0026 | train_psnr=32.09 dB | val_loss=0.0024 | val_psnr=28.43 dB | time=54.2s
[Epoch 013] train_loss=0.0027 | train_psnr=32.15 dB | val_loss=0.0023 | val_psnr=28.48 dB | time=56.0s
[Epoch 014] train_loss=0.0026 | train_psnr=32.09 dB | val_loss=0.0023 | val_psnr=28.55 dB | time=56.4s
[Epoch 015] train_loss=0.0026 | train_psnr=32.11 dB | val_loss=0.0023 | val_psnr=28.61 dB | time=55.9s
[Epoch 016] train_loss=0.0025 | train_psnr=32.25 dB | val_loss=0.0023 | val_psnr=28.65 dB | time=54.6s
[Epoch 017] train_loss=0.0025 | train_psnr=32.21 dB | val_loss=0.0022 | val_psnr=28.68 dB | time=56.6s
[Epoch 018] train_loss=0.0025 | train_psnr=32.19 dB | val_loss=0.0022 | val_psnr=28.71 dB | time=55.7s
