2026-04-13 19:56:09,805 INFO    MainThread:139315 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_setup.py:_flush():81] Configure stats pid to 139315
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /root/steven/AI/SISR/wandb/run-20260413_195609-ky64eir1/logs/debug.log
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /root/steven/AI/SISR/wandb/run-20260413_195609-ky64eir1/logs/debug-internal.log
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_init.py:init():844] calling init triggers
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'config': 'configs/srcnn_x2.yaml', 'model': 'srcnn', 'scale': 2, 'train_dir': 'data/DIV2K/DIV2K_train_HR', 'val_dir': 'data/DIV2K/DIV2K_valid_HR', 'epochs': 500, 'batch_size': 16, 'patch_size': 96, 'lr': '1e-4', 'opt': 'Adam', 'crit': 'MSE', 'save_dir': 'output/srcnn_x2', '_wandb': {}}
2026-04-13 19:56:09,809 INFO    MainThread:139315 [wandb_init.py:init():892] starting backend
2026-04-13 19:56:10,134 INFO    MainThread:139315 [wandb_init.py:init():895] sending inform_init request
2026-04-13 19:56:10,143 INFO    MainThread:139315 [wandb_init.py:init():903] backend started and connected
2026-04-13 19:56:10,144 INFO    MainThread:139315 [wandb_init.py:init():973] updated telemetry
2026-04-13 19:56:10,147 INFO    MainThread:139315 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-13 19:56:11,995 INFO    MainThread:139315 [wandb_init.py:init():1042] starting run threads in backend
2026-04-13 19:56:12,063 INFO    MainThread:139315 [wandb_run.py:_console_start():2524] atexit reg
2026-04-13 19:56:12,063 INFO    MainThread:139315 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-13 19:56:12,063 INFO    MainThread:139315 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-13 19:56:12,063 INFO    MainThread:139315 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-13 19:56:12,072 INFO    MainThread:139315 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-13 19:56:17,990 INFO    wandb-AsyncioManager-main:139315 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-13 19:56:17,990 INFO    wandb-AsyncioManager-main:139315 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
