====================
Model: SRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.0553 | train_psnr=21.03 dB | val_loss=0.0078 | val_psnr=24.03 dB | time=56.1s
[Epoch 002] train_loss=0.0082 | train_psnr=26.90 dB | val_loss=0.0043 | val_psnr=26.21 dB | time=55.2s
[Epoch 003] train_loss=0.0050 | train_psnr=28.10 dB | val_loss=0.0032 | val_psnr=27.19 dB | time=56.4s
[Epoch 004] train_loss=0.0039 | train_psnr=29.30 dB | val_loss=0.0025 | val_psnr=28.01 dB | time=55.5s
[Epoch 005] train_loss=0.0032 | train_psnr=30.54 dB | val_loss=0.0023 | val_psnr=28.49 dB | time=57.0s
[Epoch 006] train_loss=0.0028 | train_psnr=31.11 dB | val_loss=0.0021 | val_psnr=28.98 dB | time=57.2s
[Epoch 007] train_loss=0.0025 | train_psnr=31.88 dB | val_loss=0.0019 | val_psnr=29.42 dB | time=56.9s
[Epoch 008] train_loss=0.0023 | train_psnr=32.27 dB | val_loss=0.0018 | val_psnr=29.73 dB | time=57.9s
[Epoch 009] train_loss=0.0022 | train_psnr=32.40 dB | val_loss=0.0017 | val_psnr=30.01 dB | time=57.2s
[Epoch 010] train_loss=0.0021 | train_psnr=32.80 dB | val_loss=0.0016 | val_psnr=30.22 dB | time=57.2s
[Epoch 011] train_loss=0.0019 | train_psnr=33.06 dB | val_loss=0.0016 | val_psnr=30.40 dB | time=56.8s
[Epoch 012] train_loss=0.0019 | train_psnr=33.17 dB | val_loss=0.0016 | val_psnr=30.49 dB | time=56.6s
[Epoch 013] train_loss=0.0018 | train_psnr=33.45 dB | val_loss=0.0015 | val_psnr=30.70 dB | time=58.4s
[Epoch 014] train_loss=0.0018 | train_psnr=33.48 dB | val_loss=0.0015 | val_psnr=30.78 dB | time=55.9s
[Epoch 015] train_loss=0.0018 | train_psnr=33.70 dB | val_loss=0.0014 | val_psnr=30.93 dB | time=57.9s
[Epoch 016] train_loss=0.0017 | train_psnr=33.75 dB | val_loss=0.0014 | val_psnr=30.87 dB | time=56.3s
[Epoch 017] train_loss=0.0016 | train_psnr=34.27 dB | val_loss=0.0014 | val_psnr=31.14 dB | time=56.9s
[Epoch 018] train_loss=0.0016 | train_psnr=34.49 dB | val_loss=0.0013 | val_psnr=31.23 dB | time=54.9s
[Epoch 019] train_loss=0.0016 | train_psnr=34.54 dB | val_loss=0.0013 | val_psnr=31.30 dB | time=55.9s
[Epoch 020] train_loss=0.0016 | train_psnr=34.51 dB | val_loss=0.0013 | val_psnr=31.41 dB | time=57.5s
[Epoch 021] train_loss=0.0015 | train_psnr=35.03 dB | val_loss=0.0013 | val_psnr=31.47 dB | time=55.0s
