====================
Model: ESPCN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
Wandb Project: ESPCN_X2
====================
[Epoch 001] train_loss=0.0740 | train_psnr=17.49 dB | val_loss=0.0172 | val_psnr=20.90 dB | time=51.6s
[Epoch 002] train_loss=0.0199 | train_psnr=22.14 dB | val_loss=0.0103 | val_psnr=23.50 dB | time=49.2s
[Epoch 003] train_loss=0.0126 | train_psnr=24.21 dB | val_loss=0.0077 | val_psnr=24.88 dB | time=50.7s
[Epoch 004] train_loss=0.0092 | train_psnr=25.64 dB | val_loss=0.0061 | val_psnr=25.76 dB | time=49.7s
[Epoch 005] train_loss=0.0076 | train_psnr=26.43 dB | val_loss=0.0051 | val_psnr=26.50 dB | time=50.2s
[Epoch 006] train_loss=0.0064 | train_psnr=27.27 dB | val_loss=0.0044 | val_psnr=26.99 dB | time=50.8s
[Epoch 007] train_loss=0.0056 | train_psnr=27.99 dB | val_loss=0.0039 | val_psnr=27.52 dB | time=51.7s
[Epoch 008] train_loss=0.0050 | train_psnr=28.56 dB | val_loss=0.0035 | val_psnr=27.93 dB | time=48.8s
[Epoch 009] train_loss=0.0046 | train_psnr=28.95 dB | val_loss=0.0032 | val_psnr=28.25 dB | time=50.4s
[Epoch 010] train_loss=0.0042 | train_psnr=29.42 dB | val_loss=0.0029 | val_psnr=28.58 dB | time=50.7s
[Epoch 011] train_loss=0.0038 | train_psnr=29.78 dB | val_loss=0.0027 | val_psnr=28.85 dB | time=49.5s
[Epoch 012] train_loss=0.0035 | train_psnr=30.12 dB | val_loss=0.0026 | val_psnr=29.08 dB | time=50.2s
[Epoch 013] train_loss=0.0033 | train_psnr=30.42 dB | val_loss=0.0024 | val_psnr=29.38 dB | time=48.6s
[Epoch 014] train_loss=0.0032 | train_psnr=30.55 dB | val_loss=0.0023 | val_psnr=29.47 dB | time=48.3s
[Epoch 015] train_loss=0.0030 | train_psnr=30.87 dB | val_loss=0.0021 | val_psnr=29.77 dB | time=47.1s
[Epoch 016] train_loss=0.0028 | train_psnr=31.26 dB | val_loss=0.0020 | val_psnr=29.96 dB | time=47.2s
